budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
25000000,131,2021,7.0,11.595,52.0,22.0,12,0,0,1,1,78
15000000,141,2021,6.4,4.371,18.0,40.0,12,0,0,1,0,57
200000000,151,2020,6.447,91.399,78.0,44.0,12,0,0,0,1,62
150000000,101,2020,8.134,88.875,45.0,56.0,12,0,0,0,1,67
60000000,104,2020,6.605,45.68,82.0,56.0,12,0,0,0,0,51
6000000,96,2020,8.129,40.176,79.0,64.0,12,1,0,1,1,67
10000000,113,2020,7.446,30.176,73.0,37.0,12,1,0,1,1,54
2500000,85,2020,6.3,19.75,33.0,36.0,12,0,0,1,1,54
38000000,118,2020,6.971,18.326,107.0,54.0,12,0,0,1,1,67
250000000,162,2022,7.136,132.585,40.0,39.0,11,1,0,0,1,59
40000000,151,2022,7.649,67.892,65.0,34.0,11,1,0,1,0,59
35000000,107,2022,7.193,66.99,63.0,41.0,11,1,1,0,1,58
